recurso,clase,titulo,tipo_dato,descripcion,ejemplo,estandar_mapeo,notas
Elecciones,Eleccion,eleccion_id,alfanumérico,Identificacón única del acto eleccionario,GenCor2019,edf:Contest,
Elecciones,Eleccion,eleccion_nombre,alfanumérico,Nombre de la elección,Elecciones Generales de la Provincia de Córdoba,edf:Contest,
Elecciones,Eleccion,eleccion_tipo,alfanumérico,Tipo de elección,Gobernador y Vice Gobernador,edf:Contest,
Elecciones,Eleccion,eleccion_fecha_inicio,fecha,Fecha de inicio de la elección,2019-05-12,edf:Contest,
Elecciones,Eleccion,elección_fecha_fin,fecha,Fecha de fin de la elección,2019-05-12,edf:Contest,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_eleccion_id,alfanumérico,URI unica que identifique el acto eleccionario,GenCor2019,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_region_id,alfanumérico,"URI que identifica la region donde se realiza la elección. xx:yy:zzzz donde xx corresponde al codigo de provincia, yy corresponde al código de departamento, zzzz corresponde al codigo de localidad. En caso de no existir un codigo electoral se puede usar la codificación ISO 3166-2",AR-X,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_region_nombre,alfanumérico,Nombre de la región,Provincia de Córdoba,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_partido_id,alfanumérico,URI identificando al partido,4,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_partido_nombre,alfanumérico,Nombre del partido,Encuentro por Córdoba,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_candidato_id,alfanumérico,URI identificando al candidato,1,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_candidato_nombre,alfanumérico,Nombre del candidato,Juan Martinez,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Opcion,opcion_candidato_votos,numérico,Cantidad de votos obtenidos por el candidato.,5000,edf:Choices,
Resultados Electorales por Opción Elegible Disponible,Resultado,resultado_elegido,booleano,Indica si el candidato fue elegido o no,No,edf:Results,"Este valor en el estandar se ubica dentro del resultado, pero a los efectos de esta propuesta corresponde que se ubique a nivel del candidato"
Resultados Electorales por Opción Elegible Disponible,Resultado,resultado_orden,numérico,Campo que permite ordenar el resultado de la elección,10,edf:Results,"Este valor en el estandar se ubica dentro del resultado, pero a los efectos de esta propuesta corresponde que se ubique a nivel del candidato"
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_eleccion_id,alfanumérico,Identificacón única del acto eleccionario,GenCor2019,edf:Results,
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_region_id,alfanumérico,"Identifica la region donde se realiza la elección. xx:yy:zzzz donde xx corresponde al codigo de provincia, yy corresponde al código de departamento, zzzz corresponde al codigo de localidad.",AR-X,edf:Results,
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_circuito_id,alfanumérico,Indica circuito de votación,32,schema:Thing,
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_mesa_id,alfanumérico,Indica la mesa de votación,1,schema:Thing,Se agrega la mesa de votación para conocer los resultados a un nivel mas desagregado.
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_partido_id,alfanumérico,Identificación única del partido,4,edf:Results,
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_candidato_id,alfanumérico,Identificación única del candidato,1,edf:Results,
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_opcion_candidato_id,alfanumérico,Identifica la hoja de votación o lista a la que pertenece el candidato,9009,edf:Results,
Resultados Electorales por Mesa y Opción Elegible Disponible,Resultado,resultado_votos_obtenidos,numérico,Cantidad de votos obtenidos por el candidato en esa lista,26,edf:Results,
Resumen de Resultados Electorales por Mesa,Resultado,resumen_eleccion_id,alfanumérico,Identificacón única del acto eleccionario,GenCor2019,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resultado,resumen_region_id,alfanumérico,"Identifica la region donde se realiza la elección. xx:yy:zzzz donde xx corresponde al codigo de provincia, yy corresponde al código de departamento, zzzz corresponde al codigo de localidad.",AR-X,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resultado,resultado_circuito_id,alfanumérico,Indica circuito de votación,32,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resultado,resumen_mesa_id,alfanumérico,Indica la mesa de votación,1,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resumen por mesa,resumen_votos_anulados,numérico,Cantidad de votos anulados en la mesa receptora de votos,25,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resumen por mesa,resumen_votos_en_blanco,numérico,Cantidad de votos en blanco en la mesa receptora de votos,180,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resumen por mesa,resumen_votos_otro_estado,numérico,Cantidad de votos con otro estado en la mesa receptora de votos,,schema:Thing,
Resumen de Resultados Electorales por Mesa,Resumen por mesa,resumen_votos_emitidos,alfanumérico,Total de votos emitidos se compone del total de los votos del resumen por mesa mas los votos obtenidos por cada opcion,1207,schema:Thing,